sqft,bedrooms,bathrooms,age,location,price
610,2,3,30,Urban Central,225322.44
3925,5,1,17,Rural Outskirts,548683.55
2465,1,2,23,Suburban Area,461471.62
3519,1,2,22,Suburban Area,669343.74
3197,3,2,21,Suburban Area,615596.3
3805,4,1,1,Urban Central,1051495.77
1311,3,2,30,Suburban Area,278836.9
2670,4,1,10,Urban Central,757857.38
1414,2,4,27,Suburban Area,325578.26
945,2,4,31,Rural Outskirts,156238.11
2949,5,1,4,Rural Outskirts,435938.37
962,4,3,9,Downtown Luxury,474354.87
3043,5,4,23,Rural Outskirts,449669.67
2865,1,2,34,Downtown Luxury,934567.94
2788,4,1,22,Rural Outskirts,402287.86
4287,3,2,16,Urban Central,1145340.2
3605,1,2,0,Rural Outskirts,503329.62
3881,1,3,30,Downtown Luxury,1297818.4
1584,3,2,30,Downtown Luxury,583870.87
3640,1,3,33,Suburban Area,685165.0
4294,4,4,8,Urban Central,1256102.72
2239,5,1,21,Rural Outskirts,311221.18
1427,1,2,12,Suburban Area,279292.03
3330,4,1,24,Rural Outskirts,444221.88
4131,2,2,17,Rural Outskirts,568203.62
3651,4,1,11,Suburban Area,699370.1
955,5,2,16,Suburban Area,217639.0
3655,4,2,14,Suburban Area,725817.21
1947,3,2,14,Suburban Area,417054.28
3804,5,2,14,Suburban Area,751754.33
3535,2,2,12,Rural Outskirts,487505.19
4476,3,2,16,Suburban Area,846049.07
2463,4,2,31,Urban Central,684437.3
726,5,2,8,Downtown Luxury,399776.19
3777,2,2,19,Suburban Area,702810.42
3656,3,1,25,Suburban Area,684258.16
1203,2,3,26,Rural Outskirts,198917.68
4470,4,2,20,Suburban Area,870287.21
4049,2,3,17,Suburban Area,777772.49
2528,1,2,12,Suburban Area,506864.62
1613,3,2,15,Rural Outskirts,248938.71
650,2,1,8,Suburban Area,127074.62
3700,4,4,11,Downtown Luxury,1401410.92
4133,4,4,18,Rural Outskirts,582781.51
3967,2,1,6,Downtown Luxury,1350306.76
3968,4,3,34,Rural Outskirts,554904.05
4397,5,4,17,Suburban Area,896464.74
3426,5,1,15,Downtown Luxury,1198276.89
2030,5,1,3,Rural Outskirts,325926.54
2392,1,4,24,Urban Central,694039.0
3461,2,3,31,Suburban Area,662732.93
2236,1,1,12,Rural Outskirts,302897.06
4076,4,2,16,Urban Central,1113439.36
4017,1,3,5,Rural Outskirts,549305.64
2245,4,3,18,Urban Central,676568.54
3067,4,4,12,Suburban Area,653712.67
1805,3,4,25,Downtown Luxury,729531.63
3630,5,2,13,Urban Central,1012821.85
3472,4,1,30,Rural Outskirts,455453.03
3672,3,4,3,Suburban Area,769133.75
2454,5,4,7,Urban Central,813505.21
1166,4,3,24,Rural Outskirts,184145.59
3018,4,4,12,Rural Outskirts,460434.64
1535,1,4,31,Rural Outskirts,233731.79
2534,1,4,27,Urban Central,688287.38
3308,5,4,29,Urban Central,974622.38
4102,4,3,2,Urban Central,1183707.42
3616,2,2,27,Downtown Luxury,1228327.83
1932,1,2,2,Urban Central,549696.87
3808,5,1,33,Urban Central,1017374.88
801,4,4,15,Urban Central,346690.14
4107,4,3,21,Downtown Luxury,1448634.51
2960,2,1,31,Urban Central,754959.84
716,5,1,7,Rural Outskirts,134531.16
4337,4,2,7,Urban Central,1190306.13
1536,1,3,5,Rural Outskirts,265355.64
4474,2,3,13,Rural Outskirts,622435.39
1174,5,3,31,Rural Outskirts,187881.94
2891,2,2,34,Downtown Luxury,975403.63
1136,1,2,9,Downtown Luxury,452520.3
2225,5,2,2,Downtown Luxury,871425.61
2722,2,2,11,Urban Central,752387.8
4477,3,2,30,Rural Outskirts,590790.87
985,1,4,28,Downtown Luxury,394566.09
3881,1,4,4,Downtown Luxury,1404558.6
1074,1,3,24,Urban Central,336122.96
1017,3,1,30,Downtown Luxury,380004.57
2994,3,3,20,Urban Central,843895.63
4200,4,1,19,Suburban Area,829219.74
3287,2,2,21,Downtown Luxury,1102932.4
1538,4,1,3,Suburban Area,343514.6
1554,2,3,12,Urban Central,463700.47
1475,3,3,19,Rural Outskirts,233972.19
1362,3,1,12,Downtown Luxury,506305.12
1802,4,4,16,Urban Central,601306.53
1805,5,2,32,Rural Outskirts,266227.43
1263,4,2,0,Rural Outskirts,208026.19
624,2,3,14,Suburban Area,164396.51
2590,4,4,12,Urban Central,823709.51
1803,1,1,16,Rural Outskirts,240060.28
1309,2,2,23,Downtown Luxury,462010.46
4172,2,4,7,Downtown Luxury,1516017.45
2479,5,2,26,Suburban Area,508683.88
1784,3,4,22,Rural Outskirts,281959.21
2824,2,4,7,Urban Central,844126.66
884,3,3,7,Downtown Luxury,447494.73
662,4,2,25,Rural Outskirts,110906.25
1602,1,1,12,Rural Outskirts,212415.1
1261,5,3,27,Suburban Area,302026.67
3313,3,3,24,Downtown Luxury,1190734.35
2803,2,1,15,Downtown Luxury,948584.35
2092,3,3,1,Urban Central,651855.02
3720,2,4,17,Downtown Luxury,1338116.68
1566,3,4,16,Urban Central,517678.57
1448,2,2,29,Downtown Luxury,534967.81
1707,4,2,12,Suburban Area,405549.19
4032,2,1,31,Downtown Luxury,1319533.11
1288,2,2,28,Urban Central,360336.36
747,1,4,29,Urban Central,237976.36
4301,2,1,17,Suburban Area,786654.98
941,1,1,12,Downtown Luxury,331443.17
3123,5,2,20,Downtown Luxury,1132871.24
1686,1,4,29,Suburban Area,345361.19
2324,4,1,20,Downtown Luxury,847480.67
1983,1,4,16,Downtown Luxury,759477.49
3208,5,4,18,Urban Central,964394.54
926,4,4,14,Downtown Luxury,477693.71
2392,3,2,8,Downtown Luxury,901458.54
2359,3,3,9,Suburban Area,501269.06
3812,1,3,30,Suburban Area,709909.64
1589,1,1,22,Rural Outskirts,183764.99
2862,5,4,29,Urban Central,856570.78
3082,5,2,32,Downtown Luxury,1095623.3
1551,2,4,8,Downtown Luxury,678258.96
1322,5,4,0,Rural Outskirts,281098.78
3989,2,2,34,Downtown Luxury,1312172.63
2679,4,3,10,Urban Central,787642.16
3317,1,4,33,Rural Outskirts,445706.16
2932,4,4,15,Urban Central,871871.55
3976,5,3,8,Rural Outskirts,576665.0
1028,4,2,31,Rural Outskirts,158368.52
2100,4,1,14,Suburban Area,430566.39
885,4,3,11,Urban Central,359533.12
3815,5,1,32,Downtown Luxury,1294569.34
4095,4,1,13,Downtown Luxury,1429442.53
3690,2,3,7,Urban Central,1018576.17
2665,5,4,7,Downtown Luxury,1111721.79
1368,4,1,26,Downtown Luxury,525323.71
3237,5,1,11,Urban Central,905087.04
1994,3,2,0,Rural Outskirts,290081.0
3846,2,4,10,Urban Central,1072933.61
3657,4,1,30,Rural Outskirts,492265.54
793,3,2,16,Downtown Luxury,351607.17
3149,3,4,32,Downtown Luxury,1156678.4
1587,5,3,31,Downtown Luxury,678878.75
1736,3,3,28,Suburban Area,359635.4
2761,2,2,20,Rural Outskirts,358324.34
3893,2,3,20,Suburban Area,757050.72
2301,1,1,22,Suburban Area,431517.12
1546,2,4,5,Urban Central,504306.48
1430,3,1,21,Suburban Area,286615.5
4315,2,1,7,Urban Central,1150860.52
2520,5,3,34,Urban Central,717925.47
3935,1,1,10,Suburban Area,729123.82
3572,3,3,23,Rural Outskirts,487270.76
654,1,4,20,Rural Outskirts,125893.88
4314,3,4,1,Rural Outskirts,626841.41
1399,5,1,18,Rural Outskirts,218403.7
1377,1,2,27,Rural Outskirts,172299.33
2081,4,3,16,Suburban Area,451365.05
2501,3,3,5,Suburban Area,551299.12
2809,4,1,18,Downtown Luxury,993983.19
4051,1,3,27,Rural Outskirts,544029.83
2734,4,3,1,Suburban Area,595923.54
654,4,2,3,Downtown Luxury,366325.39
4147,1,2,21,Rural Outskirts,533728.25
2423,5,1,25,Urban Central,668585.86
1801,4,2,12,Downtown Luxury,717968.37
4062,4,1,31,Suburban Area,773488.49
4020,5,4,16,Urban Central,1159988.62
3679,4,1,18,Urban Central,982356.66
1432,4,4,34,Urban Central,469785.28
912,4,1,27,Downtown Luxury,375405.9
3406,2,3,0,Suburban Area,697837.63
2458,5,2,17,Urban Central,709366.96
2607,4,4,32,Rural Outskirts,384486.21
2606,5,1,11,Urban Central,744481.45
3090,3,2,7,Urban Central,853640.77
2390,3,1,23,Downtown Luxury,820622.5
927,4,2,15,Downtown Luxury,415667.55
3725,5,2,3,Suburban Area,758560.41
3408,5,1,26,Rural Outskirts,457279.42
3910,5,4,8,Downtown Luxury,1504816.72
3900,2,4,15,Urban Central,1087635.56
3226,3,3,11,Suburban Area,658076.05
3722,5,2,30,Urban Central,1021238.82
4280,5,3,23,Urban Central,1193459.8
4275,2,3,13,Downtown Luxury,1498374.06
3654,2,1,24,Suburban Area,671704.21
1887,5,1,33,Rural Outskirts,265599.08
4089,1,1,2,Rural Outskirts,524223.2
4474,5,2,23,Downtown Luxury,1570222.51
2743,5,1,8,Downtown Luxury,1020975.86
1711,2,1,25,Suburban Area,317822.2
3749,2,2,19,Rural Outskirts,500355.38
1911,5,2,9,Rural Outskirts,302430.44
3791,5,4,18,Rural Outskirts,559954.74
3461,5,1,2,Urban Central,984715.81
3138,2,1,23,Rural Outskirts,403378.19
1051,5,1,4,Urban Central,356395.98
2123,5,4,2,Suburban Area,497115.42
764,4,1,26,Urban Central,253460.24
781,1,4,15,Suburban Area,215823.01
3116,3,3,14,Rural Outskirts,451648.38
1509,1,4,34,Rural Outskirts,230108.44
3382,4,3,11,Suburban Area,695621.33
1422,3,1,25,Downtown Luxury,496429.48
1543,5,3,33,Suburban Area,340375.11
2601,4,4,22,Downtown Luxury,998131.8
2654,5,2,30,Urban Central,767353.9
929,2,3,19,Urban Central,305470.26
1374,4,3,11,Urban Central,483226.31
4344,2,1,22,Rural Outskirts,556021.37
2798,4,4,3,Urban Central,859941.11
3756,4,3,22,Downtown Luxury,1339891.62
746,2,3,0,Urban Central,290134.15
4295,3,3,24,Suburban Area,851318.87
4052,1,3,1,Suburban Area,781149.48
1514,5,2,29,Rural Outskirts,259004.96
2171,4,4,2,Suburban Area,498292.71
1908,5,1,20,Downtown Luxury,724391.4
3347,2,1,24,Urban Central,860180.98
681,5,2,19,Rural Outskirts,133199.29
1113,2,4,21,Urban Central,364338.95
2520,5,3,20,Urban Central,759859.28
3462,1,2,32,Downtown Luxury,1125068.57
3356,1,4,14,Suburban Area,651101.07
2539,1,3,14,Suburban Area,507655.18
4194,1,2,24,Urban Central,1076142.92
1345,1,4,20,Rural Outskirts,231682.18
3670,1,1,23,Suburban Area,675000.26
2009,2,1,4,Rural Outskirts,299543.19
1306,4,4,5,Suburban Area,340909.41
1070,5,1,22,Rural Outskirts,172573.65
3790,1,4,3,Downtown Luxury,1341231.95
995,2,3,26,Rural Outskirts,154748.37
2155,2,4,17,Downtown Luxury,835481.98
2908,2,3,20,Downtown Luxury,1041240.58
1404,4,2,27,Rural Outskirts,212515.58
1533,5,4,34,Downtown Luxury,661651.11
1879,4,2,21,Urban Central,523269.09
2357,3,1,22,Downtown Luxury,816422.66
1504,2,3,2,Suburban Area,352121.28
3897,3,4,9,Rural Outskirts,575118.3
1676,1,2,24,Urban Central,453656.86
3587,1,3,7,Rural Outskirts,490713.16
2490,4,3,10,Suburban Area,551459.3
2123,5,1,4,Suburban Area,427051.99
4177,3,1,28,Suburban Area,766080.62
3501,5,3,4,Downtown Luxury,1321694.28
1987,4,3,8,Downtown Luxury,809693.74
1903,1,4,1,Rural Outskirts,271353.69
1192,5,3,0,Rural Outskirts,245827.63
3361,5,4,29,Urban Central,980054.28
3829,1,3,10,Urban Central,1044333.56
3279,3,1,27,Rural Outskirts,430951.09
2706,1,4,11,Downtown Luxury,1019333.88
4398,5,2,25,Suburban Area,835296.6
727,3,1,12,Rural Outskirts,120669.85
1335,3,4,7,Urban Central,489614.14
3368,1,4,27,Downtown Luxury,1182936.16
3786,5,2,29,Rural Outskirts,508460.77
3880,4,4,8,Rural Outskirts,558913.32
3173,5,3,30,Downtown Luxury,1163736.7
1120,2,2,20,Rural Outskirts,157667.4
3199,4,1,33,Downtown Luxury,1082162.27
836,3,1,30,Suburban Area,186578.97
1904,4,3,24,Downtown Luxury,741487.62
4030,3,1,11,Downtown Luxury,1373307.91
3872,3,4,0,Downtown Luxury,1454445.37
2381,4,4,21,Rural Outskirts,364268.16
1901,3,3,0,Rural Outskirts,286575.78
3906,3,1,0,Downtown Luxury,1362009.74
3141,2,1,20,Rural Outskirts,407179.3
2651,5,3,14,Urban Central,815840.14
3313,5,2,16,Urban Central,930730.17
1041,2,1,21,Rural Outskirts,154713.83
2676,4,2,34,Rural Outskirts,366242.03
3780,1,1,15,Downtown Luxury,1233024.7
3257,1,1,7,Suburban Area,592154.66
4398,1,1,16,Rural Outskirts,584920.66
1404,2,1,16,Urban Central,383809.01
674,2,4,25,Downtown Luxury,348414.05
3485,3,2,12,Rural Outskirts,458932.57
3817,1,2,16,Urban Central,1033856.34
2775,4,1,16,Urban Central,775538.94
2689,4,1,13,Suburban Area,531354.72
1979,1,2,5,Downtown Luxury,713122.01
640,1,4,34,Downtown Luxury,293935.18
3581,1,3,13,Suburban Area,703106.18
2681,2,3,7,Suburban Area,554370.35
3688,2,2,14,Downtown Luxury,1272802.55
2300,2,1,26,Downtown Luxury,771372.81
3824,5,1,12,Rural Outskirts,505443.56
3645,4,4,30,Rural Outskirts,513614.7
2001,4,3,34,Suburban Area,401617.63
1187,3,4,5,Rural Outskirts,228217.11
2222,2,3,4,Urban Central,654314.23
4300,5,2,21,Rural Outskirts,572501.06
941,5,3,22,Rural Outskirts,170360.56
2674,4,4,24,Urban Central,803320.27
4496,2,4,33,Suburban Area,863217.26
3958,3,4,25,Urban Central,1092538.12
1245,2,2,4,Rural Outskirts,175051.58
1330,1,3,25,Suburban Area,276287.19
767,2,3,19,Rural Outskirts,128312.78
1209,1,4,5,Urban Central,410771.03
2915,1,3,5,Urban Central,816663.78
2372,3,1,17,Rural Outskirts,327552.79
2640,4,1,3,Downtown Luxury,977843.36
3468,2,1,16,Downtown Luxury,1166430.11
1054,1,3,13,Urban Central,332322.45
3553,2,2,13,Urban Central,957813.16
2308,4,2,12,Downtown Luxury,869001.16
4072,4,2,6,Downtown Luxury,1437857.36
3569,5,2,14,Rural Outskirts,518237.35
3628,4,1,18,Rural Outskirts,499049.27
4147,3,1,34,Downtown Luxury,1391248.01
1301,1,4,16,Rural Outskirts,236651.99
3281,5,3,34,Rural Outskirts,450533.76
4229,3,3,18,Suburban Area,825595.2
2199,2,2,19,Rural Outskirts,333252.48
729,1,1,34,Urban Central,168101.39
3667,4,2,31,Rural Outskirts,497732.53
2445,1,4,23,Rural Outskirts,329296.44
1986,2,3,16,Downtown Luxury,751107.46
4376,5,3,6,Urban Central,1275455.28
3466,5,2,0,Rural Outskirts,519355.51
1292,5,4,34,Rural Outskirts,219312.18
3963,4,3,31,Suburban Area,773384.2
1994,3,4,12,Rural Outskirts,303193.2
1393,3,4,5,Rural Outskirts,236704.04
628,1,2,13,Suburban Area,122517.46
748,4,1,14,Downtown Luxury,329894.16
4450,5,2,3,Rural Outskirts,643501.33
1919,5,1,15,Suburban Area,409685.18
2658,2,4,27,Urban Central,775250.87
4183,2,1,15,Downtown Luxury,1411370.99
3323,5,4,3,Urban Central,1010594.3
1736,5,3,25,Urban Central,545957.92
786,4,3,27,Suburban Area,202425.79
3454,3,3,31,Rural Outskirts,451559.26
3391,2,2,1,Suburban Area,669567.96
1850,3,2,30,Suburban Area,334146.43
1933,4,4,2,Suburban Area,472636.99
697,5,3,7,Suburban Area,231922.57
654,3,2,23,Downtown Luxury,297473.28
3270,5,3,14,Rural Outskirts,492744.2
3311,5,2,30,Urban Central,920757.54
1357,1,1,8,Urban Central,390102.86
1005,3,1,1,Rural Outskirts,171053.35
2716,3,3,7,Urban Central,789586.48
3983,5,4,6,Rural Outskirts,586365.47
1912,4,2,15,Urban Central,547088.51
2385,1,2,34,Suburban Area,425673.71
4219,5,1,29,Urban Central,1119096.04
1350,2,1,9,Rural Outskirts,198495.28
3819,2,4,17,Rural Outskirts,525109.67
4138,1,4,4,Rural Outskirts,561872.83
2362,4,4,28,Rural Outskirts,335441.62
3915,5,3,33,Rural Outskirts,538212.99
4162,3,1,22,Downtown Luxury,1421578.22
3605,1,3,4,Downtown Luxury,1281433.28
4178,4,1,29,Urban Central,1107810.95
964,3,1,5,Rural Outskirts,144263.35
2626,2,2,3,Urban Central,721830.6
1081,2,1,28,Rural Outskirts,127433.07
2848,3,1,22,Rural Outskirts,377002.43
753,1,3,5,Downtown Luxury,328042.45
4121,2,1,31,Downtown Luxury,1331764.92
2124,5,3,17,Suburban Area,468883.67
2720,3,4,14,Downtown Luxury,1029588.9
3360,3,1,31,Suburban Area,596115.8
2943,2,1,8,Suburban Area,565615.84
1640,1,3,9,Suburban Area,350950.46
2264,5,4,19,Suburban Area,526068.36
1840,1,2,5,Suburban Area,359874.89
660,4,4,2,Urban Central,340079.07
1538,4,3,10,Downtown Luxury,678663.65
2239,2,4,16,Suburban Area,482966.58
2689,2,3,31,Rural Outskirts,360054.76
624,2,3,3,Downtown Luxury,337836.97
1662,4,2,3,Downtown Luxury,675314.55
4474,1,1,16,Suburban Area,806228.6
730,1,3,18,Urban Central,254319.12
4169,2,3,4,Suburban Area,821951.4
1852,5,2,31,Urban Central,563485.15
707,1,3,21,Rural Outskirts,112332.92
771,4,1,5,Downtown Luxury,353709.91
2058,3,2,34,Rural Outskirts,274349.87
4149,3,1,21,Urban Central,1072425.8
701,3,1,0,Urban Central,262025.1
3513,5,2,19,Rural Outskirts,520106.54
3171,2,3,21,Urban Central,868425.27
2922,4,1,10,Rural Outskirts,397806.05
2236,5,1,12,Downtown Luxury,830000.12
3715,4,1,2,Rural Outskirts,504453.2
3464,4,1,8,Downtown Luxury,1243653.4
3604,2,2,11,Rural Outskirts,478242.23
1640,3,2,22,Urban Central,470096.8
929,2,4,13,Rural Outskirts,158449.75
4240,5,4,32,Urban Central,1203043.79
4494,5,1,17,Rural Outskirts,605757.25
2120,5,3,8,Rural Outskirts,326553.85
4486,2,1,22,Suburban Area,812366.04
611,4,3,9,Urban Central,300047.2
1941,4,1,18,Suburban Area,394172.49
4263,1,4,4,Urban Central,1186376.22
815,5,4,22,Suburban Area,253567.85
938,4,3,29,Downtown Luxury,441607.5
2399,1,1,24,Rural Outskirts,290571.43
3308,4,3,27,Urban Central,926299.25
3752,5,4,33,Urban Central,1072836.42
2350,3,1,24,Rural Outskirts,293085.89
2108,5,1,9,Urban Central,614302.3
3021,2,3,13,Urban Central,861212.1
3623,4,2,29,Suburban Area,710462.56
1309,4,3,24,Urban Central,443592.8
1823,2,4,13,Downtown Luxury,728302.92
4208,2,4,34,Downtown Luxury,1457163.66
3113,3,4,33,Rural Outskirts,418661.21
1712,4,4,9,Urban Central,595487.21
1891,4,4,34,Rural Outskirts,306865.83
4326,3,2,10,Downtown Luxury,1522631.05
4242,1,1,10,Urban Central,1113433.1
1088,3,3,20,Urban Central,371641.3
2161,5,3,20,Rural Outskirts,353968.58
646,4,4,21,Downtown Luxury,377538.3
3959,2,3,6,Urban Central,1075583.88
1377,5,4,16,Rural Outskirts,262790.7
1639,4,2,1,Downtown Luxury,658429.33
1310,3,2,11,Rural Outskirts,208262.42
1000,5,1,17,Suburban Area,249063.89
2417,4,2,10,Urban Central,713775.11
3628,1,2,15,Suburban Area,710378.92
3757,1,1,17,Downtown Luxury,1210956.85
849,2,3,34,Suburban Area,189025.67
990,4,4,25,Suburban Area,268409.47
4453,1,4,15,Downtown Luxury,1545442.77
934,3,3,5,Rural Outskirts,162639.21
1228,4,1,11,Suburban Area,263698.46
4190,3,3,12,Rural Outskirts,567664.23
736,3,2,3,Suburban Area,199584.06
3530,1,1,1,Rural Outskirts,457704.42
3335,4,1,25,Downtown Luxury,1149154.9
2121,5,1,26,Suburban Area,436373.17
1426,1,4,26,Downtown Luxury,564045.35
1326,1,3,14,Suburban Area,282958.49
2100,4,1,7,Downtown Luxury,787493.71
3241,4,1,6,Downtown Luxury,1168345.55
3894,3,1,11,Suburban Area,747066.77
1589,4,3,12,Suburban Area,395927.73
3019,3,4,16,Suburban Area,644006.15
1534,1,2,16,Urban Central,447508.88
3642,2,4,20,Rural Outskirts,479383.88
1001,5,1,7,Urban Central,350852.11
2066,1,4,4,Urban Central,627624.81
4161,4,4,25,Downtown Luxury,1508664.24
1214,5,2,15,Suburban Area,286860.49
1896,2,3,27,Rural Outskirts,275570.39
4197,2,3,28,Downtown Luxury,1418047.72
1782,3,4,11,Urban Central,586625.24
3823,5,4,29,Suburban Area,776079.47
3642,3,3,22,Downtown Luxury,1288483.37
3267,1,3,15,Suburban Area,641322.02
2835,5,2,13,Downtown Luxury,1064205.33
4484,1,1,9,Suburban Area,838967.05
1721,3,4,6,Urban Central,563177.96
730,5,3,28,Rural Outskirts,147291.53
3452,3,4,2,Urban Central,1028409.28
1794,5,4,14,Rural Outskirts,311018.4
3583,3,3,18,Suburban Area,718447.13
3633,2,2,12,Downtown Luxury,1272468.51
782,3,4,20,Urban Central,309789.09
3630,2,2,26,Rural Outskirts,470138.03
963,3,3,28,Urban Central,328546.85
638,5,1,19,Rural Outskirts,117234.82
4198,5,1,24,Urban Central,1140242.44
3144,5,4,5,Rural Outskirts,488781.28
4187,4,3,1,Rural Outskirts,590641.79
1972,1,2,21,Suburban Area,381820.61
3629,5,4,31,Rural Outskirts,512781.6
1520,2,3,15,Suburban Area,344963.14
4068,5,3,17,Rural Outskirts,561322.17
3369,4,2,4,Downtown Luxury,1248780.78
3832,2,4,29,Downtown Luxury,1355578.52
615,4,3,18,Downtown Luxury,342005.27
1092,2,3,22,Rural Outskirts,182872.01
2049,3,3,33,Suburban Area,425355.92
1731,1,2,12,Suburban Area,361144.58
3541,1,4,28,Rural Outskirts,497298.74
4121,4,4,21,Downtown Luxury,1510071.49
910,1,4,8,Downtown Luxury,418298.75
1338,4,4,18,Suburban Area,332741.89
3841,4,1,5,Downtown Luxury,1351624.24
1145,4,1,14,Urban Central,370400.66
3061,1,4,19,Suburban Area,606703.36
850,4,2,8,Downtown Luxury,404844.71
1358,1,1,31,Suburban Area,259420.21
2404,4,3,3,Urban Central,742316.42
3812,5,1,17,Suburban Area,736143.22
1897,4,3,4,Suburban Area,447979.75
4087,2,4,19,Suburban Area,808186.39
2231,4,1,22,Suburban Area,424504.81
4410,3,2,10,Urban Central,1207810.97
2514,4,1,21,Rural Outskirts,336359.53
3710,2,1,3,Suburban Area,706723.03
1413,2,1,28,Suburban Area,261922.33
628,1,4,33,Downtown Luxury,286153.21
1557,5,2,12,Suburban Area,335567.11
2632,4,1,8,Downtown Luxury,950266.81
1076,1,2,30,Rural Outskirts,157474.04
917,5,4,6,Urban Central,420989.35
844,4,3,3,Urban Central,338552.52
1347,3,1,18,Rural Outskirts,203449.18
1296,4,2,29,Urban Central,386334.84
871,2,2,30,Rural Outskirts,122051.61
4111,2,4,34,Rural Outskirts,552762.19
2371,3,1,20,Rural Outskirts,321051.64
1862,1,3,30,Urban Central,523240.4
3024,5,2,18,Downtown Luxury,1116871.01
865,4,1,30,Rural Outskirts,128476.42
3573,2,3,31,Suburban Area,695547.73
1520,1,2,1,Urban Central,438928.06
4030,3,2,9,Rural Outskirts,549693.39
939,2,3,1,Rural Outskirts,184023.37
988,3,3,1,Suburban Area,272991.67
3224,4,4,23,Downtown Luxury,1205300.35
4360,5,1,16,Downtown Luxury,1500324.52
2650,2,1,31,Downtown Luxury,870970.3
4100,2,4,15,Rural Outskirts,552255.9
1765,4,2,15,Rural Outskirts,266039.98
975,1,3,30,Rural Outskirts,157997.38
4341,5,3,23,Urban Central,1222053.1
2633,2,3,0,Suburban Area,527656.15
2971,5,2,10,Rural Outskirts,435551.42
745,2,3,20,Suburban Area,184269.96
2581,5,3,3,Suburban Area,559695.39
892,3,4,6,Downtown Luxury,474468.26
4336,2,2,25,Urban Central,1128771.15
1031,5,1,11,Rural Outskirts,169439.59
1304,1,4,30,Downtown Luxury,510384.54
3596,3,4,16,Downtown Luxury,1317433.39
2598,3,1,32,Rural Outskirts,339416.83
3232,1,4,10,Suburban Area,646640.1
998,5,2,27,Downtown Luxury,431370.46
3464,4,3,31,Suburban Area,700235.16
4015,1,2,0,Urban Central,1092116.06
1563,5,1,27,Suburban Area,306436.15
3811,1,1,6,Urban Central,1001256.87
2834,1,4,1,Suburban Area,609703.09
2641,2,2,23,Downtown Luxury,932692.52
2428,5,2,3,Downtown Luxury,959236.56
2708,4,1,18,Urban Central,731887.23
1538,2,2,25,Rural Outskirts,222347.77
4051,1,1,10,Urban Central,1035620.97
1309,1,2,10,Urban Central,376152.42
1406,1,2,2,Suburban Area,303276.99
2063,5,2,11,Suburban Area,444482.89
3990,5,1,2,Urban Central,1097563.2
